Date,Agency,Category,Information
17. June 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Software and artificial intelligence (AI) as a medical device
17. June 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Transparency for machine learning-enabled medical devices: guiding principles
17. June 2024,"Therapeutic Goods Administration (TGA), Australia",News,Proactive monitoring of highest-risk medical device clinical trials
17. June 2024,"Therapeutic Goods Administration (TGA), Australia",Checklist,Essential Principles checklist
17. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Good Manufacturing Practice (GMP) requirements for medicinal products
17. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Assessed listed medicines evidence guidelines
17. June 2024,USA Food & Drug Administration FDA,Report,Report on the State of Pharmaceutical Quality
17. June 2024,USA Food & Drug Administration FDA,Guidance,Evaluation Methods for Artificial Intelligence (AI)-Enabled Medical Devices
17. June 2024,USA Food & Drug Administration FDA,News,CDER Emerging Drug Safety Technology Program (EDSTP)
17. June 2024,USA Food & Drug Administration FDA,Guidance,Transparency for Machine Learning-Enabled Medical Devices
17. June 2024,USA Food & Drug Administration FDA,Guidance,Bayesian statistical analysis plans to clinical trials demonstration program
17. June 2024,USA Food & Drug Administration FDA,Reminder,Deadline Registration and Listing of Cosmetic Product Facilities and Products
17. June 2024,USA Food & Drug Administration FDA,Guidance,The Limitations of Medical Data in AI
17. June 2024,USA Food & Drug Administration FDA,Guidance,Diabetic Foot Infections: Developing Drugs for Treatment
17. June 2024,USA Food & Drug Administration FDA,Guidance,Clinical Pharmacology - Development of Oligonucleotide Therapeutics
10. June 2024,CDSCO India,Guidance,Guidance for Industry on Pharmacovigilance Requirements for Human Vaccines
10. June 2024,Egyptian Drug Authority,Guidance,Pharmaceutical Practices for Diabetes
10. June 2024,Egyptian Drug Authority,Update,Fast Track system for all quality files for locally made products
10. June 2024,European Directorate for the Quality of Medicines & HealthCare,News,Pharmacopoeial Discussion Group achievements
10. June 2024,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024
10. June 2024,European Medicines Agency,Newsflash,CTIS newsflash – 31 May 2024
10. June 2024,European Medicines Agency,Guidance,Paediatric investigation plan (PIP) - Key elements guidance
10. June 2024,European Medicines Agency,Guidance,Guidance & Timeline for Simultaneous National Scientific Advice (SNSA)
10. June 2024,ISO (International Organization for Standardization),Standard,"ISO Update May 1, 2024 to June 1, 2024"
10. June 2024,Medical Device Authority Malaysia,Announcement,Implementation of Electronic Establishment License Certificate
10. June 2024,Medical Device Authority Malaysia,Announcement,Implementation of the One-license Policy for Each Establishment Role
10. June 2024,"MEDSAFE, New Zealand",Newsletter,Prescriber Update
10. June 2024,SWISSMEDIC,Guidance,Time limits for authorization applications
10. June 2024,SWISSMEDIC,Form,Drug Master File DMF
10. June 2024,SWISSMEDIC,Guidance,Meeting for applicants held with the Authorisation sector
10. June 2024,SWISSMEDIC,Guidance,Temporary authorisation for human medicinal products
10. June 2024,SWISSMEDIC,Guidance,Variations and extensions HAM
10. June 2024,SWISSMEDIC,Information Sheet,Swissmedic eGov Portal – OCABR standard functions-2023
10. June 2024,SWISSMEDIC,Guidance,Incident economic operators
10. June 2024,SWISSMEDIC,Information Sheet,Archive access
10. June 2024,SWISSMEDIC,Information Sheet,eMessage functions
10. June 2024,SWISSMEDIC,Information Sheet,eIAM Portal Administrator
10. June 2024,SWISSMEDIC,Form,Declaration by the Responsible Person for foreign manufacturers
10. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Clinical trial notification (CTN) form - user guide
10. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Good Clinical Practice (GCP) Inspection Program
10. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Cosmetics or therapeutic goods
10. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Serious Scarcity Substitution Instruments (SSSIs)
10. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,112 adopted this International Scientific Guidelines June 2024
10. June 2024,USA Food & Drug Administration FDA,Regulation,To Administratively Destroy Illegal Imported Devices
10. June 2024,USA Food & Drug Administration FDA,Announcement,Participation in three New Collaborative Communities
10. June 2024,USA Food & Drug Administration FDA,Guidance,Processes and Practices Applicable to Bioresearch Monitoring Inspections
10. June 2024,USA Food & Drug Administration FDA,Guidance,Electronic Submission for Marketing Applications Content (BIMO) CBER
10. June 2024,USA Food & Drug Administration FDA,SOPP 8795,Posting and Announcement of PMAs Exemption Approvals and Denials
3. June 2024,CDSCO India,Circular,Testing and evaluation of Medical Devices/ IVDs by Medical Devices Testing Lab.
3. June 2024,Egyptian Drug Authority,Guidance,E-labelling of Medical Leaflets of Medicinal Products for Human Use
3. June 2024,Egyptian Drug Authority,Updates,Fast Track for all files submitted to manage variables for human pharmaceuticals
3. June 2024,European Commission,Dashboard,Study supporting the monitoring of availability of medical devices in the EU
3. June 2024,European Commission,Guidance,MDCG 2022-4 Rev 2 provisions under Article 120 of the MDR legacy devices
3. June 2024,European Commission,Newsletter,MEDICAL DEVICES NEWS Newsletter
3. June 2024,European Commission,Consultation,Health technology assessment – Assessing and Managing Conflicts of Interest
3. June 2024,European Commission,Regulation,(EU) 2017/745 and (EU) 2017/746 as regards a gradual roll-out of Eudamed
3. June 2024,European Commission,Regulation,Quality & Safety for Substances of Human Origin for Human Application
3. June 2024,European Medicines Agency,Guidance,"ICH M14 plan, design and analysis of pharmacoepidemiological studies"
3. June 2024,European Medicines Agency,Report,"Annual report highlights progress in science, medicines and health in 2023"
3. June 2024,"Health Sciences Authority (HSA), Singapore",Responses,Amendments to Regulation 23 of the Health Products Regulations
3. June 2024,International Council for Harmonisation,Guidance,ICH M12 Guideline:+ Q&A DRUG INTERACTION STUDIES
3. June 2024,"Health Products Regulatory Authority (HPRA) , Ireland",Guidance,For Health Institutions who manufacture & use In-house IVDs
3. June 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,48 Guidelines 1 – 24 for the Registration and Review of Medical Devices
3. June 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,48 Guidelines 25 – 48 for the Registration and Review of Medical Devices
3. June 2024,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure
3. June 2024,South African Health Products Regulatory Authority,Guidance,Patient Information Leaflet for Human Medicines (Categories A D)
3. June 2024,South African Health Products Regulatory Authority,Communication,Summary of Medicine Safety Regulatory Decisions
3. June 2024,South African Health Products Regulatory Authority,Communication,Regulatory Information Management System – Update on Progress
3. June 2024,SWISSMEDIC,Guidance,Performance studies with IVD
3. June 2024,SWISSMEDIC,Guidance,Clinical investigations with medical devices
3. June 2024,SWISSMEDIC,Guidance,Swissmedic eGov Portal – Standard functions CPP
3. June 2024,SWISSMEDIC,Guidance,Clinical Trial Application Dossier
3. June 2024,SWISSMEDIC,Guidance,Guideline Amendments Clinical Trials
3. June 2024,SWISSMEDIC,Checklist,Die Inspektion der Instandhaltung von Medizinprodukten
3. June 2024,SWISSMEDIC,Guidance,Swiss M1 Implementation Guidance
3. June 2024,"Therapeutic Goods Administration (TGA), Australia",Publication,Australia’s breast implant risk management framework
3. June 2024,"Therapeutic Goods Administration (TGA), Australia",Publication,Cosmetic injectables: import and supply in Australia
3. June 2024,"Therapeutic Goods Administration (TGA), Australia",Publication,Action Plan for Medical Devices Progress Report Card: December 2023
3. June 2024,USA Food & Drug Administration FDA,Guidance,Safety of Residues of Veterinary Drugs in Human Food
3. June 2024,USA Food & Drug Administration FDA,Guidance,Platform Technology Designation Program for Drug Development
3. June 2024,USA Food & Drug Administration FDA,Update,Drugs@FDA Data Files
27. May 2024,Egyptian Drug Authority,Guidance,Antimicrobial Use in Infections with Multi-Drug Resistant Organisms (MDROs)
27. May 2024,European Directorate for the Quality of Medicines & HealthCare (EDQM),Guidance,Draft guideline on ‘Content of the dossier for sterile substances’
27. May 2024,European Commission,Report,Study on the implementation of Article 17 of Regulation (EU) 2017/745
27. May 2024,European Commission,Communication,European Health Union: acting together for people's health
27. May 2024,European Medicines Agency,Guidance,Medical devices: new guidance for industry and notified bodies
27. May 2024,European Medicines Agency,Newsflash,CTIS newsflash
27. May 2024,European Medicines Agency,Guidance,IDMP: Chapter 7: XEVMPD and SIAMED II to PMS – Initial migration guide
27. May 2024,European Medicines Agency,Guidance,IRIS guide for applicants
27. May 2024,European Medicines Agency,Guidance,Support for industry on clinical data publication; Anonymisation
27. May 2024,European Medicines Agency,Q&A,Regulatory Procedure Management for the Product Lifecycle Management
27. May 2024,International Medical Device Regulators Forum,Template,8 Slide Template for IMDRF Membership Application Presentations
27. May 2024,Medical Device Authority Malaysia,Registration,Re-Registration Medical Device Applications in the Medc@st 2.0+ System
27. May 2024,Medical Device Authority Malaysia,Consultation,Draft Guidance Document Change Notification for Registered Medical Device
27. May 2024,Department of Health and Social Care UK,Policy Paper,Explanatory Memo on EU regulations 2017/745 & 2017/746 (COM(2024)43)
27. May 2024,Medicines and Healthcare products Regulatory Agency,Standard,Implementation of the future regulations
27. May 2024,Medicines and Healthcare products Regulatory Agency,Standard,Statement of policy intent: international recognition of medical devices
27. May 2024,Medicines and Healthcare products Regulatory Agency,Consultation,Common specification requirements for in vitro diagnostic devices
27. May 2024,South African Health Products Regulatory Authority,Guidance,Reliance - General ECTD & human medicines
27. May 2024,South African Health Products Regulatory Authority,Guidance,Resubmission Of Shipment Documentation For SAHPRA Review and Stamp
27. May 2024,South African Health Products Regulatory Authority,Guidance,"12 Documents, Medical Device Registration Voluntary Feasibility Study"
27. May 2024,Team AB,News,MHRA’s International Recognition Policy for Medical Device Regulations
27. May 2024,Team NB,Survey,Team-NB 2023 Annual Sector Survey & Press Release
27. May 2024,USA Food & Drug Administration FDA,Reclassification,Ophthalmic Devices; Ultrasound Cyclodestructive Device
27. May 2024,USA Food & Drug Administration FDA,Update,ASCA-Accredited Testing Laboratories
27. May 2024,USA Food & Drug Administration FDA,Report,FY 2023 GDUFA Science and Research Report
27. May 2024,USA Food & Drug Administration FDA,SOP,Resolution of Internal Differences of Opinion in Regulatory Decision-Making
27. May 2024,World Health Organisation WHO,Guidance,Data requirements & protocol for efficacy of vector control products
27. May 2024,World Health Organisation WHO,List,"WHO bacterial priority pathogens list, 2024"
20. May 2024,CDSCO India,Notice,Adverse Events reported under Materiovigilance Programme of India
20. May 2024,CDSCO India,Circular,Transition Class C & D Medical Devices under Licensing regime w.e.f 01.10.2023
20. May 2024,European Commission,Update,49 EU MDR and 12 EU IVDR Notified Bodies
20. May 2024,European Commission,Report,"Combine clinical trials of medicinal products, medical devices and IVDs"
20. May 2024,European Commission,Templates,"MDCG 2024-6, 7, 8 and 9 - Preliminary (re-)assessment review templates"
20. May 2024,European Commission,EUDAMED,The new version of EUDAMED 2.14.1 has been deployed.
20. May 2024,European Commission,Survey,Notified bodies survey on certifications and applications
20. May 2024,European Medicines Agency,Guidance,Implementation of ISO standards IDMP
20. May 2024,European Medicines Agency,IDMP,Implementation of ISO standards IDMP Chapter 1 Registration Requirements
20. May 2024,European Medicines Agency,Guidance,EudraVigilance registration documents
20. May 2024,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) 13-16 May 2024
20. May 2024,Department of Health The Government of the Hong Kong,MDACS,Overview of the Medical Device Administrative Control System (GN-01)
20. May 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Consultation,Registration & Review of Prefilled Catheter Irrigators (Draft for Comments)
20. May 2024,ISO (International Organization for Standardization),Standard,"ISO Update April 1, 2024 to May 1, 2024"
20. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Good manufacturing practice and good distribution practice
20. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a licence to market a medicine in the UK
20. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices regulations: compliance and enforcement
20. May 2024,SWISSMEDIC,Guidance,Guidance document for requesting product certificates (CPP)
20. May 2024,SWISSMEDIC,Checklist,Inspektion von Aufbereitungseinheiten für Medizinprodukte (AEMP)
20. May 2024,SWISSMEDIC,Reglement,Reglement Schweizerische Pharmakopöegremien
20. May 2024,SWISSMEDIC,Information Sheet,Quick instruction for use of the FO_submission form
20. May 2024,SWISSMEDIC,Guidance,Guidance on the Submission Process for Clinical Trials with Medicinal Products
20. May 2024,SWISSMEDIC,Guidance,Temporary Authorisation to use an unauthorised medicinal product
20. May 2024,SWISSMEDIC,Directory,List Countries with recognised GMP control systems
20. May 2024,SWISSMEDIC,Form,Einfuhr von immunologischen Arzneimittelnoder oder von Blut und Blutprodukten
20. May 2024,SWISSMEDIC,Information Sheet,"import licence for immunological medicinal products, or blood products"
20. May 2024,SWISSMEDIC,Guidance,Change name or domicile of the authorisation holder
20. May 2024,SWISSMEDIC,Guidance,Information sheet Requirements ZL TrP/GT/GMO
20. May 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Notification of a change in sponsorship
20. May 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Good Clinical Practice (GCP) Inspection Program
20. May 2024,USA Food & Drug Administration FDA,Catalog,Regulatory Science Tools Catalog
20. May 2024,USA Food & Drug Administration FDA,List,Artificial Intelligence and Machine Learning (AI/ML)-Enabled Medical Devices
20. May 2024,USA Food & Drug Administration FDA,Report,2023 Drug Trials Snapshots Summary Report
20. May 2024,USA Food & Drug Administration FDA,MDDT Tools,IntraOcular Lens Implant Symptoms (AIOLIS) Instrument.
13. May 2024,Egyptian Drug Authority,Consultation,Draft regulatory guide for the examination of human use products files
13. May 2024,Egyptian Drug Authority,Extension,Exceptional period for entering cosmetic notification on the e-platform
13. May 2024,European Commission,Update,48 EU MDR and 12 EU IVDR Notified Bodies
13. May 2024,European Medicines Agency,Form,"(CTIS) structured data form - substantial, non-substantial modification"
13. May 2024,European Medicines Agency,Recommendation,(PRAC recommendations on signals adopted 8-11 April 2024 Framework for Action: Cross-agency One Health task force framework for action
13. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Software and artificial intelligence (AI) as a medical device
13. May 2024,Medicines and Healthcare products Regulatory Agency,Collection,AI Airlock: the regulatory sandbox for AIaMD
13. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Send and receive information on adverse drug reactions (ADRs)
13. May 2024,Medical Device Authority Malaysia,Circular Letter,Medical Devices Subject to Trade Restrictions
13. May 2024,"Health Sciences Authority (HSA), Singapore",Memorandum,HSA signs memorandum of understanding with Malaysia
13. May 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Regulation of software based medical devices
13. May 2024,USA Food & Drug Administration FDA,Guidance,REMS Logic Model: A Framework to Link Program Design With AssessmentGuidance: Remanufacturing of Medical Devices
13. May 2024,USA Food & Drug Administration FDA,Request for Comment,Clinical Research Terms - Innovative Clinical Trial Design
13. May 2024,USA Food & Drug Administration FDA,Record,eSubmitter Application History
13. May 2024,USA Food & Drug Administration FDA,Initiative,General Framework for Adopting LLMs in Regulatory Application
13. May 2024,USA Food & Drug Administration FDA,Annual Summary,Biological Product and HCT/P Deviation Reports
13. May 2024,World Health Organisation WHO,Guidance,Prevention of infections from intravascular peripheral catheters
6. May 2024,Egyptian Drug Authority,Guidance,Naming of Human Pharmaceutical Products
6. May 2024,European Medicines Agency,Guidance,ICH Q3C (R9) Guideline on impurities guideline for residual solvents - Step 5
6. May 2024,European Medicines Agency,Guidance,Quality of medicines questions and answers: Part 1
6. May 2024,European Medicines Agency,Guidance,Defining the Scope of an NIRS Procedure
6. May 2024,European Medicines Agency,Guidance,Appendix 1: Acceptable intakes established for N-nitrosamines
6. May 2024,European Medicines Agency,Concept Paper,Risk Assessment Human Medicinal Products Reproduction and Lactation
6. May 2024,European Medicines Agency,Template,Template for scientific document (parts B-F)
6. May 2024,European Medicines Agency,Report,SME office annual report
6. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Send and receive information on adverse drug reactions (ADRs)
6. May 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies
6. May 2024,Medicines and Healthcare products Regulatory Agency,Policy Paper,Impact of AI on the regulation of medical products
6. May 2024,Medicines and Healthcare products Regulatory Agency,News,MHRA’s AI regulatory strategy ensures patient safety & industry innovation into 2030
6. May 2024," Health Sciences Authority (HSA), Singapore",Guidance,NEX2US Newsletter Issue 10 | April 2024
6. May 2024, International Medical Device Regulators Forum,Guidance,Assessment & Decision Process for Recognition of CAB Regulatory Reviews
6. May 2024, International Medical Device Regulators Forum,Guidance,Competence and Training Requirements for CABs Conducting Reviews
6. May 2024, International Medical Device Regulators Forum,Guidance,Regulatory Authority Assessment Method for CAB Review
6. May 2024, International Medical Device Regulators Forum,Guidance,Requirements for Regulatory Authority Recognition of CABs Conducting Reviews
6. May 2024, International Medical Device Regulators Forum,Guidance,Principles of Labelling for Medical Devices and IVD Medical Devices
6. May 2024, International Medical Device Regulators Forum,Guidance,Essential Principles of Safety and Performance of Medical Devices and IVDs
6. May 2024, International Medical Device Regulators Forum,Guidance,"Competence, Training, and Conduct Requirements for Reg.  Reviewers"
6. May 2024, International Medical Device Regulators Forum,Guidance,Regulatory Review Report: Guidance Regarding Information to be Included
6. May 2024, International Medical Device Regulators Forum,Whitepaper,IMDRF 25th Session Workshop: White Paper on Reliance
6. May 2024,SWISSMEDIC,Guidance,Parallel Import of a human medicinal product according to Art. 14 para. 2 and 3
6. May 2024,SWISSMEDIC,Guidance,Guidance document for requesting product certificates (CPP)
6. May 2024,SWISSMEDIC,Form,Meldung einer vermuteten unerwünschten Arzneimittelwirkung (UAW)
6. May 2024,"Therapeutic Goods Administration (TGA), Australia",Checklist,Essential Principles checklist
6. May 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Regulatory requirements for in-house IVDs
6. May 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Boundary and combination products and their product category
6. May 2024,USA Food & Drug Administration FDA,Guidance,Enforcement Policy for Certain IVDs
6. May 2024,USA Food & Drug Administration FDA,Guidance,Enforcement Policies Tests During a Section 564 Declared Emergency
6. May 2024,USA Food & Drug Administration FDA,Guidance,Use of a Standard for Uniform Blood & Blood Component Container Labels
6. May 2024,USA Food & Drug Administration FDA,Guidance,"Derived Materials in the Manufacture of Cell, Gene Therapy &Tissue-Engineered"
6. May 2024,USA Food & Drug Administration FDA,Guidance,Safety Testing of Human Allogeneic Cells for Use in Cell-Based Medical Products
6. May 2024,USA Food & Drug Administration FDA,Report,2023 Office of New Drugs (OND) Annual Report
6. May 2024,USA Food & Drug Administration FDA,Report,2023 Office of Translational Sciences Annual Report
6. May 2024,USA Food & Drug Administration FDA,Newsletter,What’s New in Regulatory Science CDER
6. May 2024,USA Food & Drug Administration FDA,News,Helping to Ensure the Safety and Effectiveness of Laboratory Developed Tests
6. May 2024,USA Food & Drug Administration FDA,MDDT Tools,Apple Atrial Fibrillation History Feature
29. April 2024,Drug Regulatory Authority of Pakistan,Guidance,Post Registration Variation  for pharmaceutical and biologic products
29. April 2024,Egyptian Drug Authority,Guidance,Papers to submit to General Department of Evaluation and Control
29. April 2024,European Commission,Update,46 EU MDR and 12 EU IVDR Notified Bodies
29. April 2024,European Commission,Approved,"Gradual roll-out of Eudamed, improve transition of IVD"
29. April 2024,European Medicines Agency,Guidance,Strengthening supply chains of critical medicines
29. April 2024,European Medicines Agency,Report,EMA’s biennial report on stakeholder engagement activities
29. April 2024,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 22-25 April 2024
29. April 2024,East Africa Regulatory Affairs Association (EARAPA),REOI,Regulatory Process for Certification or Listing of Priority IVDs
29. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: apply for a variation to your marketing authorisation
29. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a licence to market a medicine in the UK
29. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies
29. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
29. April 2024,Department of Health The Government of the Hong Kong,MDACS,Update-Listed Rapid Antigen Tests for COVID-19 under MDACS
29. April 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Consultation,Technical review of the laparoscopic surgical system
29. April 2024,"SEGOB Secretariat of the Interior or the Secretariat for Governance, Mexico",Standard,"PROY-NOM-137-SSA1-2024, Labeling of medical devices."
29. April 2024,SWISSMEDIC,Form,Gesuch Betriebsbewilligung - Basisformular Arzneimittel (inkl. Blut)
29. April 2024,SWISSMEDIC,Form,Gesuch Betriebsbewilligung - Zusatzblatt Arzneimittel (inkl. Blut)
29. April 2024,SWISSMEDIC,Form,Gesuch Betriebsbewilligung - Basisformular TpP/GT/GVO
29. April 2024,SWISSMEDIC,Form,Gesuch Betriebsbewilligung - Zusatzblatt TpP/GT/GVO
29. April 2024,SWISSMEDIC,Guidance,Application establishment licence - medicinal products TP/GT/GMO
29. April 2024,SWISSMEDIC,Guidance,Authorisation of human medicinal product - known active substance
29. April 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Established acceptable intake for nitrosamines in medicines
29. April 2024,USA Food & Drug Administration FDA,Report,Postmarketing Requirements and Commitments: Reports
29. April 2024,USA Food & Drug Administration FDA,Record,eSubmitter Application History
29. April 2024,USA Food & Drug Administration FDA,Announcement,Home as a Health Care Hub
29. April 2024,USA Food & Drug Administration FDA,Guidance Snapshots,E19 A Selective Approach to Safety Data Collection
29. April 2024,USA Food & Drug Administration FDA,Guidance,Promotional Labeling and Advertising Considerations Biologics Q&A
29. April 2024,USA Food & Drug Administration FDA,Guidance,Content Format of Composition Statement of Ingredients Labeling NDAs ANDAs
29. April 2024,USA Food & Drug Administration FDA,Guidance x 3,Cancer Clinical Trial Eligibility Criteria
29. April 2024,USA White House Office for Information and Regulatory Affairs,Conclusion,Regulatory Review Medical Devices; Laboratory Developed Tests
29. April 2024,World Health Organisation WHO,Guidance,The selection and use of essential medicines (2023) - TRS 1049
22. April 2024,Egyptian Drug Authority,Form,Updating The Registeration Form
22. April 2024,European Directorate for the Quality of Medicines & HealthCare,Deadline,Survey on strategy for Ph. Eur. quality standards for MABs
22. April 2024,European Directorate for the Quality of Medicines & HealthCare,Consultation,Guidance Traceability of Medicines in Hospital Settings
22. April 2024,European Commission Medical Device Coordination Group,Guidance,MDCG 2024-4 Safety reporting in performance studies of EU IVDR Template: MDCG 2022-9 / Rev.1 Summary of safety and performance
22. April 2024,European Commission Medical Device Coordination Group,Guidance,MDCG 2024-5 - Guidance on the Investigator’s Brochure content
22. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,RegulatoryConnect
22. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Rolling review for marketing authorisation applications
22. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,150-day assessment for national applications for medicines
22. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,MAH submission of Nitrosamine risk and confirmatory testing
22. April 2024, Medical Device Authority Malaysia,Announcement,Quotation Medical Device Testing Services
22. April 2024, Medical Device Authority Malaysia,Directive,Implementation of One License Policy For Each Establisment Role
22. April 2024,Department of Health The Government of the Hong Kong,MDACS,Update-Medical Device Information System
22. April 2024,SWISSMEDIC,Guidance,Medical Device Software
22. April 2024,SWISSMEDIC,Form,New authorisation of human medicinal products
22. April 2024,SWISSMEDIC,Guidance,GMP compliance by foreign manufacturers
22. April 2024,SWISSMEDIC,Form,Status of authorisation applications abroad
22. April 2024,"Therapeutic Goods Administration (TGA), Australia",Consultation,Availability of Instructions For Use (IFU) in more flexible formats
22. April 2024,"Therapeutic Goods Administration (TGA), Australia",Standard,Sunscreen Standard update
22. April 2024,USA Food & Drug Administration FDA,Announcement,New Dataset - Chemical Characterization Methods for Biocompatibility
22. April 2024,USA Food & Drug Administration FDA,Announcement,CDER Center for Clinical Trial Innovation (C3TI)
22. April 2024,USA Food & Drug Administration FDA,SOPP 8101.2,Scheduling and Documentation of Meetings with Industry
22. April 2024,USA Food & Drug Administration FDA,Guidance,Data Standards Catalog
22. April 2024,USA Food & Drug Administration FDA,Reports,CDRH Issues 2024 Safety and Innovation Reports
22. April 2024,USA Food & Drug Administration FDA,Guidance Snapshots,Pharmacokinetics Impaired Renal Function
22. April 2024,USA Food & Drug Administration FDA,CDER Discussion,Proposed Rule to Help Patients Understand Their Prescription Medication Information
22. April 2024,World Health Organisation WHO,Guidance,"WHO pharmaceuticals newsletter - No. 2, 2024"
15. April 2024,ANVISA Brazil,Normative Instruction,Procedure for acceptance of applications - Mutual Recognition
15. April 2024,CDSCO India,Guidance,Stabilty Studies of In-vitro Diagnostic Medical Device (IVDMD)
15. April 2024,Egyptian Drug Authority,Guidance,Mechanism of inquiry and follow-up of the position of stability studies
15. April 2024,European Directorate for the Quality of Medicines & HealthCare (EDQM),Press Release,JP and Ph. Eur. launch harmonisation project for API & Finished Form
15. April 2024,European Commission,Final Report,Study on the implementation of Article 17 of EU MDR in EU
15. April 2024,European Commission,Dashboard,A Study & Dashboard reprocessing and reuse of single-use-devices
15. April 2024, European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee 8-11 April 2024
15. April 2024,ISO (International Organization for Standardization),Standard,"ISO Update March 1, 2024 to April 1, 2024"
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Borderlines with medical devices and other products in Great Britain
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: apply for a parallel import licence
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: apply for authorisation in the UK
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
15. April 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: reclassify your product
15. April 2024,Medicines and Healthcare products Regulatory Agency,Pharmacopoeia Guidance,ATMP T Cell and NK Cell Characterisation Assays
15. April 2024,Department of Health and Social Care,Guidance,Medical technology innovation classification framework
15. April 2024,Department of Health and Social Care,Policy Paper,Medical technology strategy
15. April 2024,"MEDSAFE, New Zealand",Consultation,Outcome of the consultation on standards for contraceptive devices
15. April 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Clinical Evaluation and Registration Review of Absorbable Sutures
15. April 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Consultation,Registration & Review of Matrix Soft Tissue Wound Repair
15. April 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Notice,Medical Device Registration Review Guideline Plan (No. 17 [2024])
15. April 2024,Saudi Food & Drug Authority,Guidance,General Considerations for Preclinical Studies Submissions
15. April 2024,SWISSMEDIC,Form,Adverse Reaction Report CT ATMP
15. April 2024,SWISSMEDIC,Information Sheet,"Reporting Adverse reactions with ATMPs,(bacteriophages, etc.)"
15. April 2024,SWISSMEDIC,Technical interpretation,Retention Samples
15. April 2024,SWISSMEDIC,Form,Reporting a suspected adverse drug reaction (UAW)
15. April 2024,SWISSMEDIC,Checklist,Application for operating license to handle controlled substances
15. April 2024,SWISSMEDIC,Regulation,Regulations on fee collection
15. April 2024,SWISSMEDIC,Form,Field Safety Corrective Action (FSCA) Report
15. April 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Clinical trial notification (CTN) form
15. April 2024,USA Food & Drug Administration FDA,Record,eSubmitter Application History
8. April 2024, CDSCO India,Notice,Strengthening of Private Medical Device Testing Laboratory
8. April 2024,Egyptian Drug Authority,Guidance,Third edition regulatory guide for the decision of the EDA  No. (450) of 2023
8. April 2024,Egyptian Drug Authority,Guidance,Rational use of antifungals
8. April 2024,European Medicines Agency,Procedure,Procedural Advice on Zero day MR procedure
8. April 2024,European Medicines Agency,Q&A,Pharmacovigilance Legislation
